INFO 2024-11-20 07:09:29,998 basehttp "GET /static/froala_editor/js/plugins/entities.min.js HTTP/1.1" 200 2987
INFO 2024-11-20 07:09:29,999 basehttp "GET /static/froala_editor/js/plugins/file.min.js HTTP/1.1" 200 12290
INFO 2024-11-20 07:09:29,999 basehttp "GET /static/froala_editor/js/plugins/font_family.min.js HTTP/1.1" 200 2840
INFO 2024-11-20 07:09:30,000 basehttp "GET /static/froala_editor/js/plugins/help.min.js HTTP/1.1" 200 2710
INFO 2024-11-20 07:09:30,011 basehttp "GET /static/froala_editor/js/plugins/inline_style.min.js HTTP/1.1" 200 1475
INFO 2024-11-20 07:09:30,015 basehttp "GET /static/froala_editor/js/plugins/fullscreen.min.js HTTP/1.1" 200 3801
INFO 2024-11-20 07:09:30,018 basehttp "GET /static/froala_editor/js/plugins/image_manager.min.js HTTP/1.1" 200 9502
INFO 2024-11-20 07:09:30,026 basehttp "GET /static/froala_editor/js/plugins/link.min.js HTTP/1.1" 200 18907
INFO 2024-11-20 07:09:30,028 basehttp "GET /static/froala_editor/js/plugins/line_breaker.min.js HTTP/1.1" 200 7064
INFO 2024-11-20 07:09:30,033 basehttp "GET /static/froala_editor/js/plugins/lists.min.js HTTP/1.1" 200 9954
INFO 2024-11-20 07:09:30,037 basehttp "GET /static/froala_editor/js/plugins/image.min.js HTTP/1.1" 200 56427
INFO 2024-11-20 07:09:30,038 basehttp "GET /static/froala_editor/js/plugins/print.min.js HTTP/1.1" 200 2727
INFO 2024-11-20 07:09:30,042 basehttp "GET /static/froala_editor/js/plugins/paragraph_format.min.js HTTP/1.1" 200 4738
INFO 2024-11-20 07:09:30,044 basehttp "GET /static/froala_editor/js/plugins/quick_insert.min.js HTTP/1.1" 200 7486
INFO 2024-11-20 07:09:30,044 basehttp "GET /static/froala_editor/js/plugins/save.min.js HTTP/1.1" 200 2197
INFO 2024-11-20 07:09:30,045 basehttp "GET /static/froala_editor/js/plugins/quote.min.js HTTP/1.1" 200 2194
INFO 2024-11-20 07:09:30,057 basehttp "GET /static/froala_editor/js/plugins/paragraph_style.min.js HTTP/1.1" 200 2256
INFO 2024-11-20 07:09:30,060 basehttp "GET /static/froala_editor/js/plugins/special_characters.min.js HTTP/1.1" 200 29265
INFO 2024-11-20 07:09:30,063 basehttp "GET /static/froala_editor/js/plugins/url.min.js HTTP/1.1" 200 4235
INFO 2024-11-20 07:09:30,064 basehttp "GET /static/froala_editor/js/plugins/video.min.js HTTP/1.1" 200 42358
INFO 2024-11-20 07:09:30,065 basehttp "GET /static/froala_editor/js/plugins/word_paste.min.js HTTP/1.1" 200 23956
INFO 2024-11-20 07:09:30,067 basehttp "GET /static/froala_editor/js/plugins/table.min.js HTTP/1.1" 200 56997
INFO 2024-11-20 07:09:53,493 basehttp "POST /article/edit/3 HTTP/1.1" 302 0
INFO 2024-11-20 07:09:53,518 basehttp "GET /article/3 HTTP/1.1" 200 31558
INFO 2024-11-20 07:09:56,218 views This is an info message
WARNING 2024-11-20 07:09:56,218 views This is a warning message
ERROR 2024-11-20 07:09:56,218 views This is an error message
CRITICAL 2024-11-20 07:09:56,219 views This is a critical message
INFO 2024-11-20 07:09:56,219 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:11:59,596 basehttp "GET /article/3 HTTP/1.1" 200 31474
WARNING 2024-11-20 07:12:05,687 log Forbidden (CSRF token missing.): /button-action/
WARNING 2024-11-20 07:12:05,690 basehttp "POST /button-action/ HTTP/1.1" 403 2491
INFO 2024-11-20 07:12:26,359 basehttp "GET /article/3 HTTP/1.1" 200 31475
WARNING 2024-11-20 07:12:29,866 log Forbidden (CSRF token missing.): /button-action/
WARNING 2024-11-20 07:12:29,867 basehttp "POST /button-action/ HTTP/1.1" 403 2491
INFO 2024-11-20 07:12:35,050 basehttp "GET /article/3 HTTP/1.1" 200 31474
WARNING 2024-11-20 07:12:37,813 log Forbidden (CSRF token missing.): /button-action/
WARNING 2024-11-20 07:12:37,814 basehttp "POST /button-action/ HTTP/1.1" 403 2491
INFO 2024-11-20 07:12:43,585 basehttp "GET /article/3 HTTP/1.1" 200 31474
WARNING 2024-11-20 07:12:50,237 log Forbidden (CSRF token missing.): /button-action/
WARNING 2024-11-20 07:12:50,238 basehttp "POST /button-action/ HTTP/1.1" 403 2491
INFO 2024-11-20 07:13:15,196 basehttp "GET /article/3 HTTP/1.1" 200 31554
WARNING 2024-11-20 07:13:19,328 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:13:19,330 basehttp "POST /button-action/ HTTP/1.1" 403 2549
INFO 2024-11-20 07:13:44,273 basehttp "GET /article/3 HTTP/1.1" 200 31558
INFO 2024-11-20 07:13:49,347 views This is an info message
WARNING 2024-11-20 07:13:49,347 views This is a warning message
ERROR 2024-11-20 07:13:49,347 views This is an error message
CRITICAL 2024-11-20 07:13:49,348 views This is a critical message
INFO 2024-11-20 07:13:49,349 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:19:09,142 basehttp "GET /article/3 HTTP/1.1" 200 31556
WARNING 2024-11-20 07:19:16,746 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:19:16,747 basehttp "POST /button-action/ HTTP/1.1" 403 2549
